Label,10kHz,40kHz,80kHz
Aluminium,614.1,613.2,613.2
Aluminium,613.8,612.9,613.0
Aluminium,613.6,612.7,612.9
Aluminium,613.6,612.7,612.9
Aluminium,613.8,612.9,613.1
Aluminium,614.1,613.2,613.4
Aluminium,614.3,613.5,613.7
Aluminium,614.6,613.8,614.0
Aluminium,614.8,614.0,614.2
Aluminium,615.0,614.2,614.5
Aluminium,615.1,614.4,614.6
Aluminium,615.3,614.6,614.8
Aluminium,615.3,614.6,614.7
Aluminium,615.3,614.7,614.7
Aluminium,615.3,614.6,614.6
Aluminium,615.3,614.6,614.6
Aluminium,615.3,614.6,614.6
Aluminium,615.4,614.7,614.6
Aluminium,615.4,614.8,614.6
Aluminium,615.4,614.8,614.7
Aluminium,615.4,614.8,614.7
Aluminium,615.3,614.8,614.6
Aluminium,615.1,614.6,614.5
Aluminium,615.1,614.5,614.3
Aluminium,615.1,614.5,614.3
Aluminium,615.0,614.4,614.3
Aluminium,615.0,614.2,614.2
Aluminium,614.8,614.1,614.1
Aluminium,614.7,613.9,614.0
Aluminium,614.6,613.9,613.8
Aluminium,614.5,613.8,613.8
Aluminium,614.4,613.6,613.7
Aluminium,614.4,613.6,613.7
Aluminium,614.3,613.5,613.6
Aluminium,614.3,613.4,613.6
Aluminium,614.3,613.4,613.7
Aluminium,614.1,613.2,613.5
Aluminium,614.0,613.0,613.4
Aluminium,613.8,612.8,613.3
Aluminium,613.5,612.6,613.1
Aluminium,613.3,612.4,612.8
Aluminium,613.0,612.2,612.6
Aluminium,612.8,611.9,612.3
Aluminium,612.5,611.6,612.0
Aluminium,612.2,611.3,611.7
Aluminium,611.9,611.1,611.5
Aluminium,611.7,610.9,611.3
Aluminium,611.4,610.6,611.1
Aluminium,611.2,610.5,610.9
Aluminium,610.9,610.2,610.6
Aluminium,610.7,610.0,610.3
Aluminium,610.5,609.8,610.1
Aluminium,610.3,609.6,609.9
Aluminium,610.1,609.4,609.7
Aluminium,609.9,609.1,609.4
Aluminium,609.7,608.8,609.2
Aluminium,609.5,608.7,609.0
Aluminium,609.3,608.6,608.9
Aluminium,609.1,608.4,608.7
Aluminium,609.0,608.3,608.5
Aluminium,608.7,608.1,608.3
Aluminium,608.6,608.0,608.3
Aluminium,608.5,607.9,608.0
Aluminium,608.3,607.7,607.8
Aluminium,608.1,607.6,607.7
Aluminium,607.9,607.5,607.6
Aluminium,607.8,607.4,607.4
Aluminium,607.8,607.3,607.4
Aluminium,607.7,607.2,607.3
Aluminium,607.7,607.1,607.3
Aluminium,607.6,607.0,607.3
Aluminium,607.5,606.9,607.2
Aluminium,607.5,606.9,607.1
Aluminium,607.4,606.8,607.0
Aluminium,607.2,606.8,606.9
Aluminium,607.2,606.8,606.9
Aluminium,607.2,606.7,606.8
Aluminium,607.2,606.7,606.8
Aluminium,607.1,606.6,606.7
Aluminium,607.0,606.5,606.6
Aluminium,606.9,606.4,606.5
Aluminium,606.8,606.4,606.4
Aluminium,606.8,606.2,606.3
Aluminium,606.7,606.2,606.3
Aluminium,606.6,606.0,606.3
Aluminium,606.6,606.0,606.2
Aluminium,606.6,606.0,606.1
Aluminium,606.5,606.0,606.1
Aluminium,606.4,605.9,606.0
Aluminium,606.5,605.9,606.0
Aluminium,606.4,605.9,606.0
Aluminium,606.5,605.9,605.9
Aluminium,606.4,605.7,605.8
Aluminium,606.3,605.5,605.6
Aluminium,606.2,605.4,605.5
Aluminium,606.1,605.3,605.4
Aluminium,605.8,605.2,605.3
Aluminium,605.7,605.0,605.2
Aluminium,605.6,604.9,605.2
Aluminium,605.5,604.8,605.1
Aluminium,573.7,572.8,572.8
Aluminium,573.7,572.9,572.9
Aluminium,573.4,572.5,572.4
